name,source_file,record_id,SMILES,poly_diff_5ns_value,Degree of polymerization,salt_molality_mol_per_kg_polymer,target_total_atoms,repeat_unit_mw_g_mol,repeat_unit_atom_count,short length,chain_mw_g_mol,chain_atom_count,litfsi_mw_g_mol,litfsi_atom_count,litfsi_per_chain_ideal,litfsi_per_chain_nearest_int,Num_chains,Num_LiTFSI,system_total_atom_count,system_actual_litfsi_per_chain,system_actual_molality_mol_per_kg_polymer,left_cap,right_cap
poly_716,cv_9.csv,9-0-1119513146-0,CCCOCC(=O)NCC(CN*)OC(=O)*,1.8201185208491027e-08,150,1.5,100000,216.237,31,4,32435.55,4650,287.088,16,48.653325,49,19,924,103134,48.631579,1.49933,*C,*C
poly_717,cv_9.csv,9-0-428454361-0,O=C(*)NCCNCCO*,1.8335299390889775e-08,150,1.5,100000,130.147,19,4,19522.05,2850,287.088,16,29.283075,29,31,908,102878,29.290323,1.500371,*C,*C
poly_718,cv_9.csv,9-0-413612572-0,CCC(CCNC(=O)CCNC(=O)*)O*,1.6007640597058997e-08,150,1.5,100000,200.238,30,4,30035.7,4500,287.088,16,45.05355,45,20,901,104416,45.05,1.499882,*C,*C
poly_719,cv_9.csv,9-0-413611551-0,COCCN(CCCOC(=O)*)CCO*,4.268367092381158e-08,150,1.5,100000,203.238,31,4,30485.7,4650,287.088,16,45.72855,46,19,869,102254,45.736842,1.500272,*C,*C
poly_720,cv_9.csv,9-0-13127189-0,C=CCNC(=O)NC(CO*)COC(=O)*,1.1636260875035553e-08,150,1.5,100000,200.194,26,4,30029.1,3900,287.088,16,45.04365,45,22,991,101656,45.045455,1.50006,*C,*C
poly_721,cv_9.csv,9-0-413687785-0,COCC(C)N(CCNC(=O)*)CCO*,2.7484223915708633e-08,150,1.5,100000,202.254,32,4,30338.1,4800,287.088,16,45.50715,46,19,865,105040,45.526316,1.500632,*C,*C
poly_722,cv_9.csv,9-0-246364261-0,CC(CCOC(=O)*)NC(C)C(C)(C)CO*,1.8585439149865372e-08,150,1.5,100000,215.293,36,4,32293.95,5400,287.088,16,48.440925,48,17,823,104968,48.411765,1.499097,*C,*C
poly_723,cv_9.csv,9-0-13126745-0,CN(CC#N)CC(CO*)OC(=O)*,1.9073665968504098e-08,150,1.5,100000,170.168,22,4,25525.2,3300,287.088,16,38.2878,38,26,995,101720,38.269231,1.499273,*C,*C
poly_724,cv_9.csv,9-0-1119513625-0,CNCC(=O)NCC(C)(CO*)COC(=O)*,1.3802874091760228e-08,150,1.5,100000,216.237,31,4,32435.55,4650,287.088,16,48.653325,49,19,924,103134,48.631579,1.49933,*C,*C
poly_725,cv_9.csv,9-0-538225401-0,CCC(C)(OC(=O)*)C(O*)C(=O)O,7.548551282208708e-09,150,1.5,100000,174.152,22,4,26122.8,3300,287.088,16,39.1842,39,26,1019,102104,39.192308,1.50031,*C,*C
poly_726,cv_9.csv,9-0-428453553-0,O=C(*)OCCN(CCO*)CS(=O)(=O)O,1.3831321982873942e-08,150,1.5,100000,225.222,25,4,33783.3,3750,287.088,16,50.67495,51,22,1115,100340,50.681818,1.500203,*C,*C
poly_727,cv_9.csv,9-0-428453346-0,O=C(*)OCCOCCOCCN*,5.4659090195278955e-08,150,1.5,100000,175.184,25,4,26277.6,3750,287.088,16,39.4164,39,23,907,100762,39.434783,1.5007,*C,*C
poly_728,cv_9.csv,9-0-1119507049-0,O=C(*)NCCOCC(=O)NCCN*,1.643068842266806e-08,150,1.5,100000,187.199,26,4,28079.85,3900,287.088,16,42.119775,42,22,927,100632,42.136364,1.500591,*C,*C
poly_729,cv_9.csv,9-0-976279177-0,CC(CO*)CSCCCCCOC(=O)*,5.0215836925187425e-08,150,1.5,100000,218.318,32,4,32747.7,4800,287.088,16,49.12155,49,18,884,100544,49.111111,1.499681,*C,*C
poly_730,cv_9.csv,9-0-413651380-0,CCN(CCNCC(C)OC(=O)*)CCO*,3.178888927756068e-08,150,1.5,100000,216.281,35,4,32442.15,5250,287.088,16,48.663225,49,17,827,102482,48.647059,1.499502,*C,*C
poly_731,cv_9.csv,9-0-413643045-0,COCCCN(CCCOC(=O)*)CCO*,3.8404600004012974e-08,150,1.5,100000,217.265,34,4,32589.75,5100,287.088,16,48.884625,49,18,880,105880,48.888889,1.500131,*C,*C
poly_732,cv_9.csv,9-0-413610253-0,CC(C)CC(=O)NC(C)(CO*)COC(=O)*,1.2184588966085728e-08,150,1.5,100000,215.249,32,4,32287.35,4800,287.088,16,48.431025,48,18,872,100352,48.444444,1.500416,*C,*C
poly_733,cv_9.csv,9-0-1119520520-0,CNC(=O)C(C)NC(=O)C(CN*)NC(=O)*,4.213024315823007e-09,150,1.5,100000,214.225,29,4,32133.75,4350,287.088,16,48.200625,48,20,964,102424,48.2,1.499981,*C,*C
poly_734,cv_9.csv,9-0-13128806-0,C#CC(C)(N*)C(=O)NCCNC(=O)*,7.826347809298405e-09,150,1.5,100000,181.195,24,4,27179.25,3600,287.088,16,40.768875,41,24,978,102048,40.75,1.499306,*C,*C
poly_735,cv_9.csv,9-0-485132857-0,C=CC(C)(CNCC(CC)O*)OC(=O)*,2.5550898094517987e-08,150,1.5,100000,199.25,31,4,29887.5,4650,287.088,16,44.83125,45,19,852,101982,44.842105,1.500363,*C,*C
poly_736,cv_9.csv,9-0-413618053-0,CC(C)C(CNCCOCCOC(=O)*)O*,3.3519064038745555e-08,150,1.5,100000,217.265,34,4,32589.75,5100,287.088,16,48.884625,49,18,880,105880,48.888889,1.500131,*C,*C
poly_737,cv_9.csv,9-0-1119517931-0,NC(=O)C(=O)NCC(CO*)OC(=O)*,6.147056901938978e-09,150,1.5,100000,188.139,21,4,28220.85,3150,287.088,16,42.331275,42,27,1143,103338,42.333333,1.500073,*C,*C
poly_738,cv_9.csv,9-0-482403780-0,O=C(*)OCCCSCC(N*)C(=O)O,1.2916750767620413e-08,150,1.5,100000,205.235,24,4,30785.25,3600,287.088,16,46.177875,46,24,1108,104128,46.166667,1.499636,*C,*C
poly_739,cv_9.csv,9-0-413651038-0,CCC(CNC(=O)C(C)(C)CNC(=O)*)N*,7.9220123807276e-09,150,1.5,100000,213.281,34,4,31992.15,5100,287.088,16,47.988225,48,18,864,105624,48,1.500368,*C,*C
poly_740,cv_9.csv,9-0-246234828-0,CC(C)CCN(CCCOC(=O)*)CCO*,4.5065901829052866e-08,150,1.5,100000,215.293,36,4,32293.95,5400,287.088,16,48.440925,48,17,823,104968,48.411765,1.499097,*C,*C
poly_741,cv_9.csv,9-0-1119508832-0,CC(OC(=O)*)C(=O)NC(CO*)C(=O)O,4.203018732591339e-09,150,1.5,100000,203.15,23,4,30472.5,3450,287.088,16,45.70875,46,24,1097,100352,45.708333,1.499986,*C,*C
poly_742,cv_9.csv,9-0-246418828-0,CC(CCOC(=O)C(C)(C)O*)OC(=O)*,1.9877492664040632e-08,150,1.5,100000,202.206,28,4,30330.9,4200,287.088,16,45.49635,45,21,955,103480,45.47619,1.499335,*C,*C
poly_743,cv_9.csv,9-0-33227585-0,CC#CCC(CO*)NC(=O)CCOC(=O)*,1.4651910369572632e-08,150,1.5,100000,211.217,28,4,31682.55,4200,287.088,16,47.523825,48,21,998,104168,47.52381,1.5,*C,*C
poly_744,cv_9.csv,9-0-1132293807-0,O=C(*)NCCSCCCO*,3.2224408133630726e-08,150,1.5,100000,161.226,21,4,24183.9,3150,287.088,16,36.27585,36,27,979,100714,36.259259,1.499314,*C,*C
poly_745,cv_9.csv,9-0-246211696-0,CCN(CCOC(=O)*)CCC(C)O*,3.7367410768990354e-08,150,1.5,100000,187.239,30,4,28085.85,4500,287.088,16,42.128775,42,20,843,103488,42.15,1.500756,*C,*C
poly_746,cv_9.csv,9-0-413616236-0,O=C(*)NCC(=O)NCCCCCCN*,1.3182064906658534e-08,150,1.5,100000,199.254,31,4,29888.1,4650,287.088,16,44.83215,45,19,852,101982,44.842105,1.500333,*C,*C
poly_747,cv_9.csv,9-0-246289569-0,CCC(CNCCC(C)(C)CO*)OC(=O)*,2.522972776269207e-08,150,1.5,100000,215.293,36,4,32293.95,5400,287.088,16,48.440925,48,17,823,104968,48.411765,1.499097,*C,*C
poly_748,cv_9.csv,9-0-1132277624-0,O=C(*)OCCCCCCO*,5.9212657921817224e-08,150,1.5,100000,144.17,22,4,21625.5,3300,287.088,16,32.43825,32,27,876,103116,32.444444,1.500286,*C,*C
poly_749,cv_9.csv,9-0-1119515288-0,CCONC(=O)CC(CN*)OC(=O)*,7.739415054315666e-09,150,1.5,100000,188.183,25,4,28227.45,3750,287.088,16,42.341175,42,23,974,101834,42.347826,1.500236,*C,*C
poly_750,cv_9.csv,9-0-1119524081-0,CNCCCN(C)C(=O)C(CO*)NC(=O)*,8.473369088379025e-09,150,1.5,100000,215.253,32,4,32287.95,4800,287.088,16,48.431925,48,18,872,100352,48.444444,1.500388,*C,*C
poly_751,cv_9.csv,9-0-246352457-0,CCCN(C)CC(CC(C)(C)OC(=O)*)O*,1.48009593113222e-08,150,1.5,100000,215.293,36,4,32293.95,5400,287.088,16,48.440925,48,17,823,104968,48.411765,1.499097,*C,*C
poly_752,cv_9.csv,9-0-246177350-0,CCCCN(CCCNC(=O)*)CCO*,1.9585100531915954e-08,150,1.5,100000,200.282,34,4,30042.3,5100,287.088,16,45.06345,45,18,811,104776,45.055556,1.499737,*C,*C
poly_753,cv_9.csv,9-0-413703317-0,CC(C)(COC(=O)*)ONC(=O)C(C)(C)O*,1.144502123256362e-08,150,1.5,100000,217.221,30,4,32583.15,4500,287.088,16,48.874725,49,19,929,100364,48.894737,1.500614,*C,*C
poly_754,cv_9.csv,9-0-538231598-0,O=C(*)NCCNCCCCCNCCN*,2.7198679488977103e-08,150,1.5,100000,214.313,37,4,32146.95,5550,287.088,16,48.220425,48,16,772,101152,48.25,1.50092,*C,*C
poly_755,cv_9.csv,9-0-413633832-0,C=CC(=O)N(C)CC(C)(CO*)COC(=O)*,1.289213030576955e-08,150,1.5,100000,213.233,30,4,31984.95,4500,287.088,16,47.977425,48,19,912,100092,48,1.500706,*C,*C
poly_756,cv_9.csv,9-0-413639420-0,CCN(CC(C)(C)OC(=O)*)C(=O)CO*,9.44962237852189e-09,150,1.5,100000,201.222,29,4,30183.3,4350,287.088,16,45.27495,45,20,905,101480,45.25,1.499173,*C,*C
poly_757,cv_9.csv,9-0-1119511778-0,CC(C(N)=O)N(C)CC(CNC(=O)*)O*,9.393682545790964e-09,150,1.5,100000,201.226,29,4,30183.9,4350,287.088,16,45.27585,45,20,906,101496,45.3,1.5008,*C,*C
poly_758,cv_9.csv,9-0-1119526930-0,CC(CNC(CO*)C(=O)O)OC(=O)*,1.0278482003993415e-08,150,1.5,100000,189.167,24,4,28375.05,3600,287.088,16,42.562575,43,24,1022,102752,42.583333,1.500732,*C,*C
poly_759,cv_9.csv,9-0-1119506608-0,COCCNC(CO*)COC(=O)*,2.8147029363883276e-08,150,1.5,100000,175.184,25,4,26277.6,3750,287.088,16,39.4164,39,23,907,100762,39.434783,1.5007,*C,*C
poly_760,cv_9.csv,9-0-33218929-0,N#CCCCN(CCCOC(=O)*)CCO*,3.94433816237923e-08,150,1.5,100000,212.249,31,4,31837.35,4650,287.088,16,47.756025,48,19,907,102862,47.736842,1.499397,*C,*C
poly_761,cv_9.csv,9-0-246360468-0,CCCC(CCNC(=O)CCO*)OC(=O)*,1.1581605789706006e-08,150,1.5,100000,215.249,32,4,32287.35,4800,287.088,16,48.431025,48,18,872,100352,48.444444,1.500416,*C,*C
poly_762,cv_9.csv,9-0-1119527473-0,O=C(COC(F)F)NCC(COC(=O)*)O*,1.4804566581965256e-08,150,1.5,100000,225.147,24,4,33772.05,3600,287.088,16,50.658075,51,23,1165,101440,50.652174,1.499825,*C,*C
poly_763,cv_9.csv,9-0-413666880-0,CC(C)(CCOC(=O)CO*)OC(=O)*,1.4433846937264412e-08,150,1.5,100000,188.179,25,4,28226.85,3750,287.088,16,42.340275,42,23,974,101834,42.347826,1.500268,*C,*C
poly_764,cv_9.csv,9-0-33220238-0,CC(OC(=O)*)C(CO*)NCCC#N,1.7498544329427978e-08,150,1.5,100000,184.195,25,4,27629.25,3750,287.088,16,41.443875,41,23,953,101498,41.434783,1.499671,*C,*C
